imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
3HBZ8AD97D3GZ7VEBIN9M1728BDNN9,0.0,0.0,0.0,0.2982,0.3356,0.528
3HBZ8AD97D3GZ7VEBIN9M18U9EHNN5,0.0,0.0,0.0529,0.2725,0.3656,0.5711
3HL3WX653BXN6QCFW6M6ATC7KPGPQT,0.0,0.0,0.2227,0.5341,0.7769,0.867
3HQI26VRPRS5H4RSBPY2KOCMRQ13R0,0.0,0.0,0.0728,0.2704,0.2777,0.357
3HVLA9UQN4GKVQOHDHMDH1A7KETU66,0.0,0.0,0.1215,0.2893,0.3648,0.5008
3HYDIS22CWMMEZBE3G64NG7ZMZON5V,0.0,0.0,0.0349,0.2247,0.3585,0.4159
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,0.0,0.0,0.0729,0.1474,0.1721,0.1721
3I21NMEA63DY0BA82BXKKSLPMBYSHT,0.0,0.0,0.0991,0.3852,0.4126,0.6492
3I21NMEA63DY0BA82BXKKSLPMBYSHT_1,0.0,0.0,0.183,0.4133,0.4289,0.6391
3I21NMEA63DY0BA82BXKKSLPMBYSHT_2,0.0,0.0,0.1581,0.3969,0.4247,0.6492
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,0.0,0.0,0.0191,0.1634,0.2413,0.2613
3I5ZXD44IULX7AZS354F5V5W46GJCA,0.0,0.0,0.0,0.1436,0.2739,0.7222
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,0.0,0.0,0.0166,0.216,0.2771,0.3931
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,0.0,0.002,0.0534,0.2355,0.3685,0.3842
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,0.0,0.0,0.0279,0.2164,0.3015,0.3842
3I5ZXD44JVHG9J4AOHWFS96B5XBJCP,0.0,0.0,0.0413,0.2186,0.2594,0.7384
3ID43DSF5JBJ2SZGW2H8HR9RGRT5G5,0.0,0.0,0.0,0.186,0.239,0.2745
3IE95L92ROOBGIB0W5PPNWUUL5E7M3,0.0,0.0,0.0,0.1201,0.1388,0.1388
3IOQH27Z2E4FFLJVR8TNNB4HIMC1IN,0.0,0.0,0.0759,0.3683,0.4276,0.4952
3IR329NZ7YGB0BGT612CO4BTUIW2K0,0.0,0.0,0.0045,0.129,0.235,0.917
3IRUE3ZCDH3J5468JOOGJ1Y2ZWZIC5,0.0,0.0283,0.2063,0.4005,0.4224,0.527
3IXQCB6XI8S61DI53P5ICGI2I9BTIR,0.0153,0.1142,0.2122,0.5521,0.6886,0.7684
3J06FGISLU272UJU8S9F5O38AK5K50,0.0,0.0,0.0831,0.3754,0.5263,0.5936
3J06FGISMVRO4EVZMT2NFJ1KME95KI,0.0,0.0,0.0,0.2121,0.3281,0.5508
3J567DP9LLBDQUW0322ZJ0FWFWZFPB,0.0,0.0,0.1257,0.2531,0.3887,0.5838
3J5HEGTZRLQ9SE8SW9LZS2A15OXGGI,0.0,0.0,0.0,0.2933,0.3724,0.3754
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,0.0,0.0,0.0679,0.2012,0.2682,0.5608
3JG2O8WUZH7UTHWSYCP6CNBWVH79WZ,0.0,0.0,0.028,0.2302,0.2712,0.4082
3JGBBKK855Q5HY1J6RVO56S97I9J0I,0.0,0.0,0.0304,0.4246,0.4686,0.6236
3JGLGV9D6KL86TQHYYZCMI0V13JD5Y,0.0,0.0,0.0131,0.1918,0.2416,0.3033
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,0.0,0.0,0.0,0.1405,0.2457,0.2457
3K0G5SYN9K0M6D335K10A1FE8RM8MU,0.0,0.1056,0.2462,0.5776,0.726,0.858
3K0G5SYNALYS7SB8UL3I5RQZNM3M85,0.0,0.0503,0.1818,0.4748,0.6462,0.7265
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,0.0,0.0,0.0636,0.377,0.5342,0.573
3K27O5FVBZ6Y1U1OKHZVRLOYVIWW5C,0.0,0.0,0.0077,0.218,0.3696,0.8314
3K3X4GGOSLN6JKEE0NBXYD5PSA6MC7,0.0,0.0,0.0794,0.2243,0.7361,0.913
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,0.0,0.0,0.0307,0.7361,0.8829,0.8829
3K3X4GGOSLN9WHITSDB41LMDI6SMCK,0.0,0.0317,0.1929,0.2832,0.3239,0.5047
3K9T2ON9ZE5ORLPELXZMHUO84LJMTT,0.0,0.0,0.045,0.2013,0.3298,0.3298
3KNJI1FZ8L912486RAFQQV3ZEP6NQU,0.0,0.0694,0.2866,0.4648,0.476,0.4809
3L4EWVFWCZFLPLXQZ7MWBK7MU2X9OK,0.0,0.0,0.0,0.2131,0.2548,0.2548
3L8V324VIV0JU2BOPG7PUH68F6NF91,0.0,0.0,0.0,0.0785,0.1717,0.188
3L8V324VIVQEQ524CR2N49U2T8GF9N,0.001,0.0805,0.1839,0.3325,0.4843,0.4867
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,0.0,0.0,0.0,0.1366,0.1841,0.3846
3LBF4GRVWQSB1V8AOKNI47EZJYMDDE,0.0,0.0846,0.3386,0.6395,0.8571,0.9703
3LCM1J6T1CTW3PUN949YD9G6A99CYC,0.0,0.0,0.066,0.1645,0.1751,0.2545
3LE9INWSFWFC7U06C7E8H83VJHH0ML,0.0,0.0,0.0,0.112,0.1256,0.2204
3LJE53CC7VYWE1O3MIQ180XM33HESQ,0.0,0.0,0.0137,0.1396,0.232,0.2766
3LLXQSS3GH7EI0TIBFCZBVHJUIM2FF,0.0,0.0,0.1594,0.3009,0.449,0.4757
3LLXQSS3GH7EI0TIBFCZBVHJURL2FW,0.0,0.0,0.1689,0.2964,0.4513,0.4724
3LV0310AAZ0POAIRABRDV0CJ4TWKD9,0.0,0.0,0.0897,0.3332,0.3544,0.5541
3LV0310AAZ5BVL06B1AU1YGZUNKDKM,0.0,0.0,0.1377,0.277,0.3638,0.6422
3LV0310AAZ5BVL06B1AU1YGZUNKDKM_1,0.0,0.0,0.1503,0.3438,0.5293,0.6582
3LV0310AAZ5BVL06B1AU1YGZUNKDKM_2,0.0,0.0,0.1377,0.2483,0.3438,0.6422
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,0.0,0.0,0.1234,0.4343,0.4916,0.6489
3LV0310AB0FIJI1LDLADGNAZ3BMKDF,0.0,0.103,0.2395,0.71,0.8675,0.8891
3LV0310AB0LE2KPSDVZ5QZ931M3DKU,0.0,0.0,0.02,0.3266,0.5494,1.0
3M35MA94IX9MX6PXAQCG5JTOJ1HNO3,0.0,0.1506,0.3137,0.5972,0.7368,0.7656
3M6KHLIXGO95W4HFFOS373KMUDHIRT,0.0,0.0,0.0393,0.22,0.3623,0.4896
3ME56J5KH09H8MTADW07EI1HZMYC6P,0.0,0.0,0.0,0.1279,0.189,0.3223
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,0.0,0.0,0.0264,0.2165,0.3201,0.4001
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,0.0,0.0,0.0,0.1707,0.2103,0.234
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,0.0,0.0,0.0182,0.1313,0.1534,0.1534
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,0.0,0.0,0.0,0.2076,0.3029,0.786
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,0.0,0.0,0.0,0.1939,0.2413,0.3981
3MKP0VNPL180YVBEBVOO0GDECBIJRU,0.0,0.0,0.0562,0.2015,0.3528,0.3528
3MNPSGWWOQV9GBTQIUTZ7HIZXBCPUY,0.0,0.0,0.1698,0.2947,0.3348,0.3514
